State,"County, State",2017 Food Insecurity Rate,lat,lng
CO,"Moffat County, Colorado",0.107,40.6138379,-108.2377519
CO,"Montezuma County, Colorado",0.132,37.3257517,-108.6175626
CO,"Montrose County, Colorado",0.12,38.468304,-108.1428669
CO,"Morgan County, Colorado",0.077,40.2989226,-103.7289167
CO,"Otero County, Colorado",0.113,37.9397663,-103.6362715
CO,"Ouray County, Colorado",0.11699999999999999,38.2016133,-107.763621
CO,"Park County, Colorado",0.094,39.0897928,-105.5943388
CO,"Phillips County, Colorado",0.08800000000000001,40.53713339999999,-102.3463875
CO,"Pitkin County, Colorado",0.107,39.159101,-106.8178377
CO,"Prowers County, Colorado",0.098,37.84337560000001,-102.2547919
CO,"Pueblo County, Colorado",0.106,38.2528534,-104.4723301
CO,"Rio Blanco County, Colorado",0.121,39.9814297,-108.2377519
CO,"Rio Grande County, Colorado",0.095,37.5749508,-106.4405872
CO,"Routt County, Colorado",0.113,40.4771623,-107.1011931
CO,"Saguache County, Colorado",0.11199999999999999,38.0019623,-106.3463791
CO,"San Juan County, Colorado",0.08900000000000001,37.7573704,-107.71625
CO,"San Miguel County, Colorado",0.11900000000000001,37.9781237,-108.1428669
CO,"Sedgwick County, Colorado",0.125,40.8568843,-102.3463875
CO,"Summit County, Colorado",0.099,39.5911871,-106.0640179
CO,"Teller County, Colorado",0.1,38.86115789999999,-105.1726816
CO,"Washington County, Colorado",0.106,40.063745,-102.989615
CO,"Weld County, Colorado",0.081,40.3920718,-104.7158226
CO,"Yuma County, Colorado",0.106,40.1448234,-102.2547919
CT,"Fairfield County, Connecticut",0.094,41.2559654,-73.37086959999999
CT,"Hartford County, Connecticut",0.115,41.7924343,-72.8042797
CT,"Litchfield County, Connecticut",0.09300000000000001,41.7866294,-73.2765361
CT,"Middlesex County, Connecticut",0.09699999999999999,41.46985050000001,-72.4731529
CT,"New Haven County, Connecticut",0.121,41.3266911,-72.8042797
CT,"New London County, Connecticut",0.11199999999999999,41.5185189,-72.0468164
CT,"Tolland County, Connecticut",0.096,41.8418987,-72.37846789999999
CT,"Windham County, Connecticut",0.11,41.8275622,-72.0468164
DE,"Kent County, Delaware",0.129,39.1440612,-75.4344727
DE,"New Castle County, Delaware",0.11699999999999999,39.5392979,-75.667356
DE,"Sussex County, Delaware",0.098,38.65308410000001,-75.4344727
DC,"District of Columbia, District of Columbia",0.114,38.9071923,-77.0368707
FL,"Alachua County, Florida",0.187,29.6579549,-82.3017728
FL,"Baker County, Florida",0.152,30.3931168,-82.3017728
FL,"Bay County, Florida",0.156,30.1805306,-85.684578
FL,"Bradford County, Florida",0.16699999999999998,29.97238179999999,-82.1713632
FL,"Brevard County, Florida",0.136,28.263933,-80.7214417
FL,"Broward County, Florida",0.136,26.190096,-80.365865
FL,"Calhoun County, Florida",0.142,30.3475302,-85.1894045
FL,"Charlotte County, Florida",0.13,26.8946009,-81.909826
FL,"Citrus County, Florida",0.147,28.8848842,-82.5185837
FL,"Clay County, Florida",0.12300000000000001,29.9943564,-81.77870209999999
FL,"Collier County, Florida",0.10099999999999999,26.069985,-81.42789839999999
FL,"Columbia County, Florida",0.16,30.1812696,-82.605118
FL,"DeSoto County, Florida",0.156,27.2142078,-81.77870209999999
FL,"Dixie County, Florida",0.16699999999999998,29.5207227,-83.1649001
FL,"Duval County, Florida",0.177,30.3500511,-81.6035062
FL,"Escambia County, Florida",0.16899999999999998,30.6389408,-87.3413599
FL,"Flagler County, Florida",0.134,29.4086072,-81.2518833
FL,"Franklin County, Florida",0.161,29.7817695,-84.8567932
FL,"Gadsden County, Florida",0.222,30.5562947,-84.6479124
FL,"Gilchrist County, Florida",0.147,29.6871128,-82.82097399999999
FL,"Glades County, Florida",0.14,26.984415,-81.0754657
FL,"Gulf County, Florida",0.154,29.8001623,-85.35496499999999
FL,"Hamilton County, Florida",0.20199999999999999,30.47559579999999,-82.95015579999999
FL,"Hardee County, Florida",0.125,27.4501733,-81.8224362
FL,"Hendry County, Florida",0.131,26.6105319,-81.0754657
FL,"Hernando County, Florida",0.13,28.5578826,-82.4752757
FL,"Highlands County, Florida",0.14400000000000002,27.3400286,-81.34002679999999
FL,"Hillsborough County, Florida",0.133,27.9903597,-82.3017728
FL,"Holmes County, Florida",0.17600000000000002,30.8740806,-85.80766
FL,"Indian River County, Florida",0.131,27.6947732,-80.54384499999999
FL,"Jackson County, Florida",0.188,30.7150882,-85.1894045
FL,"Jefferson County, Florida",0.16899999999999998,30.4311978,-83.8897057
FL,"Lafayette County, Florida",0.138,30.0299573,-83.2077645
FL,"Lake County, Florida",0.126,28.702847,-81.77870209999999
FL,"Lee County, Florida",0.12300000000000001,26.6630286,-81.9534815
FL,"Leon County, Florida",0.19699999999999998,30.4906177,-84.1857115
FL,"Levy County, Florida",0.16,29.3178545,-82.82097399999999
FL,"Liberty County, Florida",0.165,30.1507777,-84.8567932
FL,"Madison County, Florida",0.222,30.4586334,-83.5070203
FL,"Manatee County, Florida",0.124,27.4799195,-82.34518899999999
FL,"Marion County, Florida",0.149,29.2787765,-82.12783999999999
FL,"Martin County, Florida",0.113,27.0804935,-80.4103957
FL,"Miami-Dade County, Florida",0.095,25.5516034,-80.6326916
FL,"Monroe County, Florida",0.114,24.5557001,-81.78259849999999
FL,"Nassau County, Florida",0.124,30.5927334,-81.8224362
FL,"Okaloosa County, Florida",0.134,30.57734009999999,-86.6611083
FL,"Okeechobee County, Florida",0.136,27.3462015,-80.89865019999999
FL,"Orange County, Florida",0.138,28.4844995,-81.2518833
FL,"Osceola County, Florida",0.098,28.1019838,-81.0754657
FL,"Palm Beach County, Florida",0.129,26.6514503,-80.2767327
FL,"Pasco County, Florida",0.127,28.3232418,-82.4319405
FL,"Pinellas County, Florida",0.142,27.876394,-82.7778579
FL,"Polk County, Florida",0.142,27.8617347,-81.6911559
FL,"Putnam County, Florida",0.187,29.6265157,-81.77870209999999
FL,"St. Johns County, Florida",0.11,29.9719419,-81.42789839999999
FL,"St. Lucie County, Florida",0.14800000000000002,27.3225563,-80.54384499999999
FL,"Santa Rosa County, Florida",0.126,30.7689907,-86.9824288
FL,"Sarasota County, Florida",0.11900000000000001,27.1995986,-82.34518899999999
FL,"Seminole County, Florida",0.11900000000000001,28.7131688,-81.20781640000001
FL,"Sumter County, Florida",0.121,28.6747526,-82.08429009999999
FL,"Suwannee County, Florida",0.162,30.24850959999999,-82.99316069999999
FL,"Taylor County, Florida",0.163,30.0993767,-83.67739279999999
FL,"Union County, Florida",0.179,30.0745112,-82.34518899999999
FL,"Volusia County, Florida",0.14300000000000002,29.0279842,-81.0754657
FL,"Wakulla County, Florida",0.135,30.1301689,-84.3542049
FL,"Walton County, Florida",0.142,30.56401989999999,-86.17517590000001
FL,"Washington County, Florida",0.16699999999999998,30.548737,-85.684578
GA,"Appling County, Georgia",0.149,31.712238,-82.25832969999999
GA,"Atkinson County, Georgia",0.127,31.2932161,-82.8640623
GA,"Bacon County, Georgia",0.139,31.5412085,-82.4319405
GA,"Baker County, Georgia",0.171,31.2816037,-84.4802606
GA,"Baldwin County, Georgia",0.209,33.0338083,-83.2934086
GA,"Banks County, Georgia",0.099,34.378542,-83.46435509999999
GA,"Barrow County, Georgia",0.1,34.0142667,-83.6986568
GA,"Bartow County, Georgia",0.114,34.2660473,-84.8150781
GA,"Ben Hill County, Georgia",0.21,31.7664035,-83.2077645
GA,"Berrien County, Georgia",0.145,31.3118535,-83.2077645
GA,"Bibb County, Georgia",0.218,32.7865735,-83.7199136
GA,"Bleckley County, Georgia",0.171,32.4087854,-83.3789389
GA,"Brantley County, Georgia",0.133,31.1510963,-81.9971108
GA,"Brooks County, Georgia",0.162,30.8730159,-83.54965659999999
GA,"Bryan County, Georgia",0.11199999999999999,32.0236584,-81.47183869999999
GA,"Bulloch County, Georgia",0.196,32.3595678,-81.77870209999999
GA,"Burke County, Georgia",0.212,33.088805,-81.9534815
GA,"Butts County, Georgia",0.16399999999999998,33.2691443,-83.9532571
GA,"Calhoun County, Georgia",0.22399999999999998,31.5621777,-84.6479124
GA,"Camden County, Georgia",0.13,30.898276,-81.6035062
GA,"Candler County, Georgia",0.174,32.4241804,-82.08429009999999
GA,"Carroll County, Georgia",0.14,33.5642239,-85.0649071
GA,"Catoosa County, Georgia",0.095,34.8981727,-85.14793639999999
